"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"10227","Local Authority","2517299",5,"BUCKINGHAMSHIRE","Buckinghamshire County Council","04/05/2019","Good",2019-09-25,1,"2019-05-04",NA,NA
"10228","For-profit","2517429",2,"BLACKPOOL","Sbl Care Services (uk) Ltd","21/09/2019","Requires improvement to be good",2020-03-03,1,"2019-09-21",NA,NA
"10229","For-profit","2517433",4,"DERBYSHIRE","Pathways Residential Child Care Larkhill House Limited","02/08/2019","Good",2020-02-11,1,"2019-08-02","2021-05-31",NA
"10230","For-profit","2519081",5,"GATESHEAD","Interactive Development Residential Limited","06/06/2019","Good",2019-09-16,1,"2019-06-06",NA,NA
"10231","For-profit","2519084",3,"STAFFORDSHIRE","Albrighton Care","14/05/2019","Requires improvement to be good",2019-11-21,1,"2019-05-14","2021-06-11",NA
"10232","For-profit","2519199",15,"GLOUCESTERSHIRE","Orbis Education And Care Limited","02/05/2019","Inadequate",2019-11-06,1,"2019-05-02","2020-10-30",NA
"10233","For-profit","2519260",3,"WILTSHIRE","Esland North Limited","15/05/2019","Good",2019-10-29,1,"2019-05-15",NA,NA
"10234","For-profit","2519269",2,"WOLVERHAMPTON","New Futures (children) Services","05/07/2019","Requires improvement to be good",2020-01-07,1,"2019-07-05",NA,NA
"10235","For-profit","2519592",4,"TAMESIDE","Care 4 Children Residential Services Ltd","08/04/2019","Good",2019-10-15,1,"2019-04-08",NA,NA
"10236","For-profit","2520922",6,"STOCKTON ON TEES","Hennessy Living Group Limited","06/06/2019","Good",2019-11-19,1,"2019-06-06",NA,NA
"10237","Third Sector","2522240",8,"SUNDERLAND","Investing In Children Cic","09/05/2019","Requires improvement to be good",2019-08-20,1,"2019-05-09",NA,NA
"10238","For-profit","2522796",6,"PETERBOROUGH","Florinee Homes Ltd","05/07/2019","Good",2020-01-20,1,"2019-07-05",NA,NA
"10239","For-profit","2523025",6,"BIRMINGHAM","Compass Children's Homes Ltd","09/07/2019","Good",2019-11-20,1,"2019-07-09",NA,NA
"10240","For-profit","2523028",1,"BLACKPOOL","Sandcastle Care Ltd","28/05/2019","Good",2020-03-03,1,"2019-05-28",NA,NA
"10241","For-profit","2523030",16,"LINCOLNSHIRE","Longboat Special Education Ltd","23/05/2019","Good",2019-12-04,1,"2019-05-23",NA,NA
"10242","For-profit","2523034",3,"KENT","Moonreach Limited","12/07/2019","Good",2020-02-11,1,"2019-07-12",NA,NA
"10243","For-profit","2523036",2,"BLACKPOOL","Outbound Care Ltd","04/07/2019","Good",2020-01-28,1,"2019-07-04",NA,NA
"10244","For-profit","2523037",2,"CALDERDALE","Time-Out Children's Homes Ltd","17/04/2019","Good",2019-10-22,1,"2019-04-17",NA,NA
"10245","For-profit","2525634",5,"ESSEX","Surecare Residential Ltd","18/04/2019","Good",2019-07-18,1,"2019-04-18",NA,NA
"10246","For-profit","2525774",4,"OLDHAM","Stepping Stones Childrens Homes Ltd","28/05/2019","Requires improvement to be good",2019-09-24,1,"2019-05-28",NA,NA
"10247","For-profit","2525807",4,"WORCESTERSHIRE","Absolute Children's Care Limited","26/07/2019","Good",2020-02-18,1,"2019-07-26",NA,NA
"10248","For-profit","2525831",4,"WARWICKSHIRE","Ivory Cottage Ltd","06/06/2019","Requires improvement to be good",2020-01-07,1,"2019-06-06","2021-05-10",NA
"10249","For-profit","2526004",6,"CHESHIRE EAST","Homes For Support Ltd","24/04/2019","Outstanding",2019-11-20,1,"2019-04-24",NA,NA
"10250","For-profit","2526435",3,"ESSEX","Shalamar Children Limited","04/07/2019","Requires improvement to be good",2019-10-22,1,"2019-07-04",NA,NA
"10251","For-profit","2526920",5,"CUMBRIA","A Wilderness Way Ltd","24/04/2019","Good",2019-07-30,1,"2019-04-24","2022-08-30",NA
"10252","For-profit","2526921",5,"CUMBRIA","A Wilderness Way Ltd","07/03/2019","Outstanding",2019-09-10,1,"2019-03-07","2022-06-01",NA
"10253","For-profit","2526987",2,"HERTFORDSHIRE","Jasmine Gardens Private Ltd","18/06/2019","Good",2020-01-06,1,"2019-06-18",NA,NA
"10254","For-profit","2526992",2,"KIRKLEES","Sandcastle Care Ltd","01/09/2019","Good",2020-02-26,1,"2019-09-01",NA,NA
"10255","For-profit","2527312",2,"DEVON","One To One Crisis Intervention Ltd","22/07/2019","Requires improvement to be good",2019-10-29,1,"2019-07-22",NA,NA
"10256","For-profit","2527654",2,"WIRRAL","Above And Beyond Residential Care Ltd","05/07/2019","Requires improvement to be good",2020-02-05,1,"2019-07-05",NA,NA
"10257","For-profit","2527860",1,"LANCASHIRE","Sandcastle Care Ltd","24/07/2019","Good",2020-03-03,1,"2019-07-24",NA,NA
"10258","For-profit","2528141",1,"LANCASHIRE","Hopscotch Care Limited","03/06/2019","Good",2019-11-05,1,"2019-06-03",NA,NA
"10259","For-profit","2528264",5,"REDBRIDGE","Heartwood Rsl Ltd","09/08/2019","Requires improvement to be good",2020-01-28,1,"2019-08-09",NA,NA
"10260","For-profit","2528486",3,"DEVON","Mutual Care Limited","02/05/2019","Requires improvement to be good",2020-02-26,1,"2019-05-02",NA,NA
"10261","For-profit","2528516",6,"SUFFOLK","Compass Children's Homes Ltd","30/05/2019","Requires improvement to be good",2019-11-05,1,"2019-05-30",NA,NA
"10262","For-profit","2528634",3,"CALDERDALE","Inspire Social Care Services Limited","20/05/2019","Good",2019-11-20,1,"2019-05-20",NA,NA
"10263","For-profit","2529355",1,"BLACKPOOL","Sandcastle Care Ltd","13/08/2019","Good",2020-02-05,1,"2019-08-13",NA,NA
"10264","Local Authority","2529639",4,"COVENTRY","Coventry City Council","06/08/2019","Requires improvement to be good",2020-02-06,1,"2019-08-06",NA,NA
"10265","Local Authority","2529648",3,"DEVON","Devon County Council","18/03/2019","Good",2019-12-17,1,"2019-03-18",NA,NA
"10266","Local Authority","2529667",4,"DEVON","Devon County Council","15/03/2019","Requires improvement to be good",2019-09-11,1,"2019-03-15",NA,NA
"10267","Local Authority","2529785",5,"DEVON","Devon County Council","15/03/2019","Good",2019-12-16,1,"2019-03-15",NA,NA
"10268","For-profit","2529815",4,"SUFFOLK","Able Health Care Ltd","06/08/2019","Requires improvement to be good",2019-11-20,1,"2019-08-06",NA,NA
"10269","Local Authority","2530021",3,"DEVON","Devon County Council","15/03/2019","Requires improvement to be good",2019-12-04,1,"2019-03-15",NA,NA
"10270","For-profit","2530059",2,"LEEDS","Hexagon Care Services Limited","30/07/2019","Good",2020-02-12,1,"2019-07-30",NA,NA
"10271","Local Authority","2530086",3,"NEWCASTLE UPON TYNE","Newcastle City Council","25/06/2019","Good",2019-10-22,1,"2019-06-25",NA,NA
"10272","For-profit","2530253",5,"NORTHUMBERLAND","Right-Trak Limited","12/08/2019","Requires improvement to be good",2019-11-12,1,"2019-08-12",NA,NA
"10273","For-profit","2530801",8,"SOMERSET","Fusion College Ltd","25/06/2019","Inadequate",2020-01-08,1,"2019-06-25","2021-04-23",NA
"10274","Third Sector","2530977",6,"CORNWALL","Sea Sanctuary","31/05/2019","Good",2019-11-12,1,"2019-05-31","2022-02-15",NA
"10275","For-profit","2531620",4,"CAMBRIDGESHIRE","Higher Hopes Ltd","11/06/2019","Good",2020-01-08,1,"2019-06-11",NA,NA
"10276","For-profit","2531755",4,"KIRKLEES","Sandcastle Care Ltd","20/08/2019","Good",2020-02-24,1,"2019-08-20",NA,NA
"10277","For-profit","2531920",4,"LANCASHIRE","Horizon Care And Education Group Limited","01/05/2019","Requires improvement to be good",2019-07-24,1,"2019-05-01","2020-04-30",NA
"10278","For-profit","2531921",4,"LANCASHIRE","Horizon Care And Education Group Limited","01/05/2019","Requires improvement to be good",2019-09-17,1,"2019-05-01",NA,NA
"10279","For-profit","2532036",3,"LANCASHIRE","Horizon Care And Education Group Limited","01/05/2019","Good",2019-07-25,1,"2019-05-01",NA,NA
"10280","For-profit","2532131",6,"NORFOLK","Cascade (Banks House) Limited","12/07/2019","Good",2020-01-07,1,"2019-07-12",NA,NA
"10281","For-profit","2532139",3,"NORTHAMPTONSHIRE","Tlc Youth Care Ltd","28/05/2019","Good",2020-02-19,1,"2019-05-28",NA,NA
"10282","For-profit","2532532",2,"SUFFOLK","Cf Support Services Limited","18/07/2019","Good",2019-11-11,1,"2019-07-18",NA,NA
"10283","For-profit","2532661",3,"NOTTINGHAM","Total Care Matters Ltd","13/08/2019","Outstanding",2020-02-06,1,"2019-08-13",NA,NA
"10284","For-profit","2533483",5,"STOCKTON ON TEES","Witherslack Group Ltd","02/08/2019","Good",2019-10-09,1,"2019-08-02",NA,NA
"10285","For-profit","2533956",4,"LANCASHIRE","Bay View Child Care Ltd","29/05/2019","Good",2019-10-21,1,"2019-05-29",NA,NA
"10286","For-profit","2534436",3,"LANCASHIRE","Brinscall Care Limited","15/07/2019","Outstanding",2019-12-17,1,"2019-07-15",NA,NA
"10287","For-profit","2534580",2,"LANCASHIRE","Sandcastle Care Ltd","21/08/2019","Good",2020-02-25,1,"2019-08-21",NA,NA
"10288","For-profit","2534589",3,"TORBAY","Lighthouse Southwest Ltd","02/09/2019","Good",2020-01-28,1,"2019-09-02",NA,NA
"10289","For-profit","2534596",3,"STAFFORDSHIRE","Orchard Children Homes Ltd","17/09/2019","Inadequate",2020-01-08,1,"2019-09-17","2020-07-15",NA
"10290","For-profit","2534696",2,"NOTTINGHAMSHIRE","Homes 2 Inspire Ltd","12/06/2019","Good",2019-11-25,1,"2019-06-12",NA,NA
"10291","For-profit","2534827",4,"CENTRAL BEDFORDSHIRE","Cambian Childcare Ltd","20/06/2019","Requires improvement to be good",2019-11-26,1,"2019-06-20",NA,NA
"10292","For-profit","2534829",2,"LANCASHIRE","Nurture Childcare Services Ltd","23/08/2019","Requires improvement to be good",2020-02-04,1,"2019-08-23",NA,NA
"10293","For-profit","2535166",3,"WILTSHIRE","Priory Education Services Limited","06/08/2019","Good",2019-12-10,1,"2019-08-06",NA,NA
"10294","For-profit","2536395",2,"ST HELENS","Inspire Childrens Services","03/06/2019","Good",2020-03-04,1,"2019-06-03",NA,NA
"10295","For-profit","2536455",5,"CENTRAL BEDFORDSHIRE","Kattz (yh) Ltd","15/08/2019","Requires improvement to be good",2019-11-11,1,"2019-08-15","2022-09-13",NA
"10296","For-profit","2536761",4,"WIGAN","Hexagon Care Services Limited","15/08/2019","Good",2020-02-04,1,"2019-08-15",NA,NA
"10297","For-profit","2537058",4,"LANCASHIRE","Sandcastle Care Ltd","26/07/2019","Good",2020-01-14,1,"2019-07-26",NA,NA
"10298","For-profit","2537060",2,"BLACKPOOL","Sandcastle Care Ltd","22/08/2019","Good",2020-02-18,1,"2019-08-22",NA,NA
"10299","Third Sector","2537149",4,"NORTH SOMERSET","Action For Children","05/09/2019","Requires improvement to be good",2020-01-07,1,"2019-09-05",NA,NA
"10300","For-profit","2537252",2,"NOTTINGHAMSHIRE","Homes 2 Inspire Ltd","12/06/2019","Requires improvement to be good",2020-01-20,1,"2019-06-12",NA,NA
"10301","For-profit","2537375",3,"STAFFORDSHIRE","First Blue Healthcare Limited","09/08/2019","Inadequate",2020-03-04,1,"2019-08-09",NA,NA
"10302","For-profit","2537801",3,"LANCASHIRE","Exceptional Care Ltd","13/09/2019","Good",2020-02-18,1,"2019-09-13",NA,NA
"10303","For-profit","2538055",2,"SOMERSET","Phoenix Learning & Care Holdings Limited","23/08/2019","Good",2020-03-03,1,"2019-08-23",NA,NA
"10304","Local Authority","2538287",2,"STOKE ON TRENT","Stoke On Trent City Council","10/07/2019","Good",2019-11-12,1,"2019-07-10",NA,NA
"10305","For-profit","2539201",3,"NOTTINGHAMSHIRE","Esland North Limited","28/08/2019","Inadequate",2020-01-20,1,"2019-08-28",NA,NA
"10306","For-profit","2539305",1,"PLYMOUTH","South West Childcare Services","26/07/2019","Good",2019-12-03,1,"2019-07-26",NA,NA
"10307","For-profit","2539688",3,"DERBYSHIRE","Resolute Care","12/07/2019","Good",2020-02-25,1,"2019-07-12","2022-11-22",NA
"10308","For-profit","2540285",8,"REDBRIDGE","Footsteps Care Limited","02/08/2019","Good",2020-03-10,1,"2019-08-02",NA,NA
"10309","For-profit","2540658",3,"WIRRAL","Tressell Homes Ltd","05/09/2019","Inadequate",2020-03-17,1,"2019-09-05",NA,NA
"10310","For-profit","2540927",3,"LINCOLNSHIRE","Esland North Limited","24/07/2019","Requires improvement to be good",2020-01-13,1,"2019-07-24",NA,NA
"10311","For-profit","2541033",5,"TRAFFORD","Pure Care Homes Ltd","05/09/2019","Good",2020-01-15,1,"2019-09-05",NA,NA
"10312","For-profit","2542024",2,"MANCHESTER","Proactive Care","30/08/2019","Good",2020-02-19,1,"2019-08-30",NA,NA
"10313","Local Authority","2542730",2,"WAKEFIELD","Wakefield Metropolitan District Council","02/09/2019","Good",2020-01-22,1,"2019-09-02",NA,NA
"10314","For-profit","2542813",1,"HALTON","Cambian Childcare Ltd","27/09/2019","Good",2020-02-19,1,"2019-09-27",NA,NA
"10315","For-profit","2543081",3,"STAFFORDSHIRE","Unity Residential Care Services Limited","22/08/2019","Good",2020-01-21,1,"2019-08-22",NA,NA
"10316","For-profit","2544217",5,"NOTTINGHAMSHIRE","Absolute Childrens Services Ltd","18/07/2019","Requires improvement to be good",2020-01-06,1,"2019-07-18",NA,NA
"10317","Local Authority","2544274",2,"WAKEFIELD","Wakefield Metropolitan District Council","02/09/2019","Good",2020-02-04,1,"2019-09-02",NA,NA
"10318","For-profit","2544803",4,"ESSEX","Cambian Childcare Ltd","06/09/2019","Good",2019-11-28,1,"2019-09-06",NA,NA
"10319","For-profit","2544885",4,"EALING","Alicie Enterprises Limited","01/08/2019","Good",2019-12-11,1,"2019-08-01",NA,NA
"10320","For-profit","2545027",3,"NORTHAMPTONSHIRE","Discovered Limited","20/09/2019","Requires improvement to be good",2019-12-30,1,"2019-09-20",NA,NA
"10321","For-profit","2545082",2,"CHESHIRE WEST AND CHESTER","Footsteps A Path To Change 08 Ltd","05/09/2019","Good",2020-01-30,1,"2019-09-05",NA,NA
"10322","Local Authority","2545130",2,"WORCESTERSHIRE","Worcestershire Health And Care Nhs Trust","04/09/2019","Requires improvement to be good",2020-02-05,1,"2019-09-04","2020-11-01",NA
"10323","For-profit","2546196",6,"ESSEX","Jasper Education And Support Services Limited","26/09/2019","Good",2020-01-08,1,"2019-09-26",NA,NA
"10324","For-profit","2546960",2,"DEVON","Blue Elephant Childcare Ltd","14/08/2019","Requires improvement to be good",2020-02-18,1,"2019-08-14",NA,NA
"10325","For-profit","2548528",4,"ROCHDALE","Octagon Care Ltd","12/08/2019","Requires improvement to be good",2020-02-05,1,"2019-08-12",NA,NA
"10326","Local Authority","2550526",1,"KINGSTON UPON HULL","Kingston Upon Hull City Council","29/08/2019","Good",2020-02-27,1,"2019-08-29",NA,NA
"10327","Third Sector","SC000673",10,"NORTHUMBERLAND","Action For Children","01/06/1994","Good",2020-01-07,1,"2014-01-01",NA,NA
"10328","For-profit","SC000678",1,"NORTHUMBERLAND","Outdoor Care Limited","23/05/2001","Good",2020-01-14,1,"2014-01-01","2020-07-31",NA
"10329","For-profit","SC000802",4,"DARLINGTON","Arronbeth Ltd","02/05/2001","Requires improvement to be good",2019-12-05,1,"2014-01-01",NA,NA
"10330","For-profit","SC000803",3,"DARLINGTON","Pear Tree Projects Limited","28/06/2001","Good",2019-09-25,1,"2014-01-01",NA,NA
"10331","For-profit","SC000820",5,"DARLINGTON","Pear Tree Projects Limited","28/06/2001","Good",2019-10-08,1,"2014-01-01",NA,NA
"10332","For-profit","SC001016",4,"CALDERDALE","Keys BR Limited","21/02/2001","Good",2020-02-26,1,"2014-01-01",NA,NA
"10333","For-profit","SC001452",6,"LEEDS","Five Rivers Child Care Limited","01/04/2002","Outstanding",2020-02-03,1,"2014-01-01",NA,NA
"10334","Third Sector","SC001531",7,"LEEDS","Catholic Care (Diocese of Leeds)","01/04/2002","Good",2019-11-19,1,"2014-01-01",NA,NA
"10335","For-profit","SC002930",8,"SHEFFIELD","Progressive Care Limited","09/11/2001","Good",2019-10-30,1,"2014-01-01",NA,NA
"10336","Third Sector","SC003792",10,"DEVON","Lifeworks Charity Limited","19/08/1999","Good",2019-12-03,1,"2014-01-01",NA,NA
"10337","For-profit","SC003884",1,"DEVON","One To One Crisis Intervention Ltd","19/10/2001","Requires improvement to be good",2019-05-21,1,"2014-01-01",NA,NA
"10338","Third Sector","SC004085",4,"BOURNEMOUTH CHRISTCHURCH AND POOLE","Diverse Abilities Plus Ltd.","04/09/1995","Good",2019-08-13,1,"2014-01-01",NA,NA
"10339","Third Sector","SC004429",5,"WARWICKSHIRE","Action For Children","31/01/1994","Good",2019-11-12,1,"2014-01-01",NA,NA
"10340","For-profit","SC005040",4,"STAFFORDSHIRE","The Partnership Of Care Today","27/01/2000","Good",2019-09-12,1,"2014-01-01",NA,NA
"10341","For-profit","SC005041",10,"STAFFORDSHIRE","Caretech Community Services Limited","17/02/1997","Good",2019-11-12,1,"2014-01-01",NA,NA
"10342","For-profit","SC005042",12,"STAFFORDSHIRE","The Partnership Of Care Today","09/03/1998","Good",2019-09-17,1,"2014-01-01",NA,NA
"10343","For-profit","SC005045",3,"STAFFORDSHIRE","The Partnership Of Care Today","27/01/2000","Good",2019-12-05,1,"2014-01-01",NA,NA
"10344","For-profit","SC005048",8,"STAFFORDSHIRE","The Partnership Of Care Today","15/05/1996","Good",2020-02-20,1,"2014-01-01",NA,NA
"10345","For-profit","SC005050",5,"STAFFORDSHIRE","The Partnership Of Care Today","15/05/1996","Good",2020-03-11,1,"2014-01-01",NA,NA
"10346","For-profit","SC005066",2,"STAFFORDSHIRE","The Partnership Of Care Today","27/01/2002","Good",2020-02-05,1,"2014-01-01",NA,NA
"10347","For-profit","SC005067",6,"STAFFORDSHIRE","Esland North Limited","05/01/1998","Requires improvement to be good",2019-11-26,1,"2014-01-01","2021-10-08",NA
"10348","For-profit","SC005204",6,"HALTON","Keys Child Care Limited","11/08/2000","Outstanding",2020-02-11,1,"2014-01-01",NA,NA
"10349","For-profit","SC005553",5,"OLDHAM","Dalepeak Limited","01/06/1999","Good",2020-01-08,1,"2014-01-01",NA,NA
"10350","For-profit","SC005567",4,"TAMESIDE","Keys Stepping Stones Limited","29/06/2001","Outstanding",2020-02-05,1,"2014-01-01",NA,NA
"10351","For-profit","SC005589",2,"TAMESIDE","The Partnership Of Care Today","10/07/2001","Good",2019-08-06,1,"2014-01-01",NA,NA
"10352","For-profit","SC005751",1,"WIGAN","Care Afloat Ltd","01/08/2001","Good",2019-08-21,1,"2014-01-01",NA,NA
"10353","For-profit","SC006010",1,"LANCASHIRE","Care Afloat Ltd","20/06/2001","Good",2020-01-30,1,"2014-01-01",NA,NA
"10354","For-profit","SC006011",2,"LANCASHIRE","Care Afloat Ltd","20/06/2001","Requires improvement to be good",2019-07-30,1,"2014-01-01","2022-02-09",NA
"10355","For-profit","SC006014",3,"LANCASHIRE","Care Afloat Ltd","20/06/2001","Outstanding",2020-02-25,1,"2014-01-01",NA,NA
"10356","For-profit","SC006017",1,"LANCASHIRE","Care Afloat Ltd","20/06/2001","Requires improvement to be good",2019-08-06,1,"2014-01-01",NA,NA
"10357","For-profit","SC006294",4,"WAKEFIELD","Dove Adolescent Services Limited","14/05/1998","Good",2020-03-03,1,"2014-01-01",NA,NA
"10358","For-profit","SC006921",5,"BROMLEY","Five Rivers Child Care Limited","30/09/1997","Good",2019-11-27,1,"2014-01-01",NA,NA
"10359","For-profit","SC007284",6,"WALTHAM FOREST","Horizon Residential Children's Home","18/04/2000","Outstanding",2019-10-07,1,"2014-01-01",NA,NA
"10360","For-profit","SC007290",4,"WALTHAM FOREST","","27/10/1998","Good",2019-06-20,1,"2014-01-01",NA,NA
"10361","For-profit","SC007608",3,"DURHAM","Pear Tree Projects Limited","30/06/2001","Good",2019-12-17,1,"2014-01-01",NA,NA
"10362","For-profit","SC008015",32,"DONCASTER","Hesley Services Limited","18/01/1996","Good",2019-12-10,1,"2014-01-01","2021-11-22",NA
"10363","For-profit","SC008268",2,"STOKE ON TRENT","The Partnership Of Care Today","01/12/2000","Inadequate",2020-02-19,1,"2014-01-01",NA,NA
"10364","For-profit","SC008269",3,"STOKE ON TRENT","The Partnership Of Care Today","22/12/2000","Requires improvement to be good",2020-02-05,1,"2014-01-01",NA,NA
"10365","For-profit","SC008270",2,"STOKE ON TRENT","The Partnership Of Care Today","01/12/2000","Outstanding",2020-01-29,1,"2014-01-01",NA,NA
"10366","For-profit","SC008271",2,"STOKE ON TRENT","The Partnership Of Care Today","22/12/2000","Good",2019-09-30,1,"2014-01-01",NA,NA
"10367","For-profit","SC008273",2,"STOKE ON TRENT","Searchlight Care Services Ltd","18/04/2001","Good",2020-02-25,1,"2014-01-01",NA,NA
"10368","For-profit","SC008274",1,"STOKE ON TRENT","Searchlight Care Services Ltd","18/04/2001","Good",2019-10-08,1,"2014-01-01",NA,NA
"10369","For-profit","SC008484",6,"STOCKPORT","","18/01/1994","Good",2019-06-18,1,"2014-01-01",NA,NA
"10370","For-profit","SC008485",6,"STOCKPORT","Choices Home For Children Limited","20/07/1995","Good",2019-07-09,1,"2014-01-01",NA,NA
"10371","For-profit","SC008486",6,"STOCKPORT","The Partnership Of Care Today","07/11/1992","Outstanding",2019-09-12,1,"2014-01-01",NA,NA
